,Time,Title,Authors
29,2:30 PM – 2:45 PM,EMISSARY: Enhanced Miss Awareness Replacement Policy for L2 Instruction Caching,"Nayana Prasad Nagendra, Bhargav Reddy Godala, Ishita Chaturvedi, Atmn Patel, Svilen Kanev, Tipp Moseley, Jared Stark, Gilles A. Pokam, Simone Campanoni, David I. August"
30,2:45 PM – 3:00 PM,Write-Light Cache for Energy Harvesting Systems,"Jongouk Choi, Jianping Zeng, Dongyoon Lee, Changwoo Min, Changhee Jung"
31,3:00 PM – 3:15 PM,Implicit Memory Tagging: No-Overhead Memory Safety Using Alias-Free Tagged ECC,"Michael B. Sullivan, Mohamed Tarek Ibn Ziad, Aamer Jaleel, Stephen W. Keckler"
32,3:15 PM – 3:30 PM,On Endurance of Processing in (Nonvolatile) Memory,"Salonik Resch, Husrev Cilasun, Zamshed Chowdhury, Masoud Zabihi, Zhengyang Zhao, Jian-Ping Wang, Sachin Sapatnekar, Ulya R. Karpuzcu"
33,2:00 PM – 2:15 PM,Instant-3D: Instant Neural Radiance Field Training Towards On-Device AR/VR 3D Reconstruction,"Sixu Li, Chaojian Li, Wenbo Zhu, Boyang (Tony) Yu, Yang Zhao, Cheng Wan, Haoran You, Huihong Shi, Yingyan (Celine) Lin"
34,2:15 PM – 2:30 PM,K-D Bonsai: ISA-Extensions to Compress K-D Trees for Autonomous Driving Tasks,"Pedro Henrique Exenberger Becker, Jose Maria Arnau, Antonio Gonzalez"
35,2:30 PM – 2:45 PM,NeuRex: A Case for Neural Rendering Acceleration,"Junseo Lee, Kwanseok Choi, Jungi Lee, Seokwon Lee, Joonho Whangbo, Jaewoong Sim"
36,2:45 PM – 3:00 PM,Hardware Acceleration of Neural Graphics,"Muhammad Husnain Mubarik, Ramakrishna Kanungo, Tobias Zirr, Rakesh Kumar"
37,3:00 PM – 3:15 PM,Gen-NeRF: Efficient and Generalizable Neural Radiance Fields via Algorithm-Hardware Co-Design,"Yonggan Fu, Zhifan Ye, Jiayi Yuan, Shunyao Zhang, Sixu Li, Haoran You, Yingyan (Celine) Lin"
38,3:15 PM – 3:30 PM,EdgePC: Efficient Deep Learning Analytics for Point Clouds on Edge Devices,"Ziyu Ying, Sandeepa Bhuyan, Yan Kang, Yingtian Zhang, Mahmut Taylan Kandemir, Chita Das"
39,4:00 PM – 4:15 PM,Energy-Efficient Realtime Motion Planning,"Deval Shah, Ningfeng Yang, Tor M. Aamodt"
40,4:15 PM – 4:30 PM,RoSÉ: A Hardware-Software Co-Simulation Infrastructure Enabling Pre-Silicon Full-Stack Robotics SoC Evaluation,"Dima Nikiforov, Shengjun Kris Dong, Chengyi Lux Zhang, Seah Kim, Borivoje Nikolic, Yakun Sophia Shao"
41,4:30 PM – 4:45 PM,RoboShape: Using Topology Patterns to Scalably and Flexibly Deploy Accelerators Across Robots,"Sabrina M. Neuman, Radhika Ghosal, Thomas Bourgeat, Brian Plancher, Vijay Janapa Reddi"
42,4:00 PM – 4:15 PM,Venice: Improving Solid-State Drive Parallelism at Low Cost via Conflict-Free Accesses,"Rakesh Nadig, Mohammad Sadrosadati, Haiyu Mao, Nika Mansouri Ghiasi, Arash Tavakkol, Jisung Park, Hamid Sarbazi-Azad, Juan Gómez Luna, Onur Mutlu"
43,4:15 PM – 4:30 PM,ECSSD: Hardware/Data Layout Co-Designed In-Storage-Computing Architecture for Extreme Classification,"Siqi Li, Fengbin Tu, Liu Liu, Jilan Lin, Zheng Wang, Yangwook Kang, Yufei Ding, Yuan Xie"
44,4:30 PM – 4:45 PM,Decoupled SSD: Rethinking SSD Architecture through Network-based Flash Controllers,"Jiho Kim, Myoungsoo Jung, John Kim"
45,4:00 PM – 4:15 PM,R2D2: Removing ReDunDancy Utilizing Linearity of Address Generation in GPUs,"Dongho Ha, Yunho Oh, Won Woo Ro"
46,4:15 PM – 4:30 PM,SAC: Sharing-Aware Caching in Multi-Chip GPUs,"Shiqing Zhang, Mahmood Naderan-Tahan, Magnus Jahre, Lieven Eeckhout"
47,8:45 AM – 9:00 AM,TEA: Time-Proportional Event Analysis,"Björn Gottschall, Lieven Eeckhout, Magnus Jahre"
48,9:00 AM – 9:15 AM,Programmable Olfactory Computing,"Nathaniel Bleier, Abigail Wezelis, Lav Varshney, Rakesh Kumar"
49,9:15 AM – 9:30 AM,Contiguitas: The Pursuit of Physical Memory Contiguity in Datacenters,"Kaiyang Zhao, Kaiwen Xue, Ziqi Wang, Dan Schatzberg, Leon Yang, Antonis Manousis, Johannes Weiner, Rik van Riel, Bikash Sharma, Chunqiang Tang, Dimitrios Skarlatos"
50,9:30 AM – 9:45 AM,SCALO: An Accelerator-Rich Distributed System for Scalable Brain-Computer Interfacing,"Karthik Sriram, Raghavendra Pradyumna Pothukuchi, Michał Gerasimiuk, Muhammed Ugur, Oliver Ye, Rajit Manohar, Anurag Khandelwal, Abhishek Bhattacharjee"
51,10:00 AM – 10:15 AM,QIsim: Architecting 10+K Qubit QC Interfaces Toward Quantum Supremacy,"Dongmoon Min, Junpyo Kim, Junhyuk Choi, Ilkwon Byun, Masamitsu Tanaka, Koji Inoue, Jangwoo Kim"
52,10:15 AM – 10:30 AM,Astrea: Accurate Quantum Error-Decoding via Practical Minimum-Weight Perfect-Matching,"Suhas Vittal, Poulami Das, Moinuddin Qureshi"
53,10:30 AM – 10:45 AM,Scaling Qubit Readout with Hardware Efficient Machine Learning Architectures,"Satvik Maurya, Chaithanya N. Mude, William Oliver, Benjamin Lienhard, Swamit Tannu"
54,10:45 AM – 11:00 AM,Q-BEEP: Quantum Bayesian Error Mitigation Employing Poisson Modeling over the Hamming Spectrum,"Samuel Stein, Nathan Wiebe, Yufei Ding, James Ang, Ang Li"
55,10:00 AM – 10:15 AM,SHARP: A Short-Word Hierarchical Accelerator for Robust and Practical Fully Homomorphic Encryption,"Jongmin Kim, Sangpyo Kim, Jaewan Choi, Jaiyoung Park, Donghwan Kim, Jung Ho Ahn"
56,10:15 AM – 10:30 AM,GenDP: A Framework of Dynamic Programming Acceleration for Genome Sequencing Analysis,"Yufeng Gu, Arun Subramaniyan, Tim Dunn, Alireza Khadem, Kuan-Yu Chen, Somnath Paul, Md Vasimuddin, Sanchit Misra, David Blaauw, Satish Narayanasamy, Reetuparna Das"
57,10:30 AM – 10:45 AM,Shogun: A Task Scheduling Framework for Graph Mining Accelerators,"Yibo Wu, Jianfeng Zhu, Wenrui Wei, Longlong Chen, Liang Wang, Shaojun Wei, Leibo Liu"
58,10:45 AM – 11:00 AM,ETTE: Efficient Tensor-Train-based Computing Engine for Deep Neural Networks,"Yu Gong, Miao Yin, Lingyi Huang, Jinqi Xiao, Yang Sui, Chunhua Deng, Bo Yuan, Yu Gong"
59,2:10 PM – 2:25 PM,TaskFusion: An Efficient Transfer Learning Architecture with Dual Delta Sparsity for Multi-Task Natural Language Processing,"Zichen Fan, Qirui Zhang, Pierre Abillama, Sara Shoouri, Changwoo Lee, David Blaauw, Hun-Seok Kim, Dennis Sylvester"
60,2:25 PM –2:40 PM,Inter-layer Scheduling Space Definition and Exploration for Tiled Accelerators,"Jingwei Cai, Yuchen Wei, Zuotong Wu, Sen Peng, Kaisheng Ma"
61,2:40 PM – 2:55 PM,ArchGym: An Open-Source Gymnasium for Machine Learning Assisted Architecture Design,"Srivatsan Krishnan, Amir Yazdanbakhsh, Shvetank Prakash, Jason Jabbour, Ikechukwu Uchendu, Susobhan Ghosh, Behzad Boroujerdian, Daniel Richins, Devashree Tripathy, Aleksandra Faust, Vijay Janapa Reddi"
62,2:55 PM – 3:10 PM,V10: Hardware-Assisted NPU Multi-tenancy for Improved Resource Utilization and Fairness,"Yuqi Xue, Yiqi Liu, Lifeng Nai, Jian Huang"
63,3:10 PM – 3:25 PM,"RAELLA: Reforming the Arithmetic for Efficient, Low-Resolution, and Low-Loss Analog PIM: No Retraining Required!","Tanner Andrulis, Joel S. Emer, Vivienne Sze"
64,3:25 PM – 3:40 PM,MapZero: Mapping for Coarse-grained Reconfigurable Architectures with Reinforcement Learning and Monte-Carlo Tree Search,"Xiangyu Kong, Yi Huang, Jianfeng Zhu, Xingchen Man, Yang Liu, Chunyang Feng, Pengfei Gou, Minggui Tang, Shaojun Wei, Leibo Liu"
65,2:10 PM – 2:25 PM,MXFaaS: Resource Sharing in Serverless Environments for Parallelism and Efficiency,"Jovan Stojkovic, Tianyin Xu, Hubertus Franke, Josep Torrellas"
66,2:25 PM – 2:40 PM,CDPU: Co-designing Compression and Decompression Processing Units for Hyperscale Systems,"Sagar Karandikar, Aniruddha N. Udipi, Junsun Choi, Joonho Whangbo, Jerry Zhao, Svilen Kanev, Edwin Lim, Jyrki Alakuijala, Vrishab Madduri, Yakun Sophia Shao, Borivoje Nikolic, Krste Asanovic, Parthasarathy Ranganathan"
67,2:40 PM – 2:55 PM,SmartDS: Middle-Tier-centric SmartNIC Enabling Application-aware Message Split in Disaggregated Block Storage,"Jie Zhang, Hongjing Huang, Lingjun Zhu, Shu Ma, Dazhong Rong, Yijun Hou, Mo Sun, Chaojie Gu, Peng Cheng, Chao Shi, Zeke Wang"
68,2:55 PM – 3:10 PM,Profiling Hyperscale Data Processing,"Abraham Gonzalez, Aasheesh Kolli, Samira Khan, Sihang Liu, Vidushi Dadu, Sagar Karandikar, Jichuan Chang, Krste Asanović, Parthasarathy Ranganathan"
69,3:10 PM – 3:25 PM,F4T: A Fast and Flexible FPGA-based Full-stack TCP Acceleration Framework,"Junehyuk Boo, Yujin Chung, Eunjin Baek, Seongmin Na, Changsu Kim, Jangwoo Kim"
70,3:25 PM – 3:40 PM,Nimblock: Scheduling for Fine-grained FPGA Sharing through Virtualization,"Meghna Mandava, Paul Reckamp, Deming Chen"
