,Time,Title,Authors
71,8:45 AM – 9:00 AM,TPU v4: An Optically Reconfigurable Supercomputer for Machine Learning with Hardware Support for Embedding,"Norm Jouppi, George Kurian, Sheng Li, Peter Ma, Rahul Nagarajan, Lifeng Nai, Nishant Patil, Suvinay Subramanian, Andy Swin, Brian Towles, Clifford Young, Xiang Zhou, Zongwei Zhou, David A Patterson"
72,9:00 AM – 9:15 AM,A Research Retrospective on AMD’s Exascale Computing Journey,"Gabriel H. Loh , Michael J. Schulte , Mike Ignatowski , Vignesh Adhinarayanan , Shaizeen Aga , Derrick Aguren , Varun Agrawal , Ashwin M. Aji , John Alsop , Paul Bauman , Bradford M. Beckmann , Majed Valad Beigi , Sergey Blagodurov , Travis Boraten , Michael Boyer , William Brantley , Noel Chalmers , Shaoming Chen , Kevin Cheng , Michael L. Chu , David Cownie , Nicholas Curtis , Joris del Pino , Nam Duong , Alexandru Dutu , Yasuko Eckert , Christopher Erb , Chip Freitag , Joseph L. Greathouse , Sudhanva Gurumurthi , Anthony Gutierrez , Khaled Hamidouche , Sachin Hossamani , Wei Huang , Mahzabeen Islam , Nuwan Jayasena , John Kalamatianos , Onur Kayiran , Jagadish Kotra , Daniel Lowell , Niti Madan , Abhinandan Majumdar , Nicholas Malaya , Srilatha Manne , Susumu Mashimo , Damon McDougall , Elliott Mednick , Michael Mishkin , Mark Nutter , Indrani Paul , Matthew Poremba , Brandon Potter , Kishore Punniyamurthy , Sooraj Puthoor , Steven E. Raasch , Karthik Rao , Greg Rodgers , Marko Scrbak , Mohammad Seyedzadeh , John Slice , Vilas Sridharan , Rene van Oostrum , Eric van Tassell , Abhinav Vishnu , Samuel Wasmundt , Mark Wilkening , Noah Wolfe , Mark Wyse , Adithya Yalavarti , Dmitri Yudanov , Varun Agrawal"
73,9:15 AM – 9:30 AM,MTIA: First Generation Silicon Targeting Meta’s Recommendation Systems,"Amin Firoozshahian , Joel Coburn , Roman Levenstein , Rakesh Nattoji , Ashwin Kamath , Olivia Wu , Gurdeepak Grewal , Harish Aepala , Bhasker Jakka , Bob Dreyer , Adam Hutchin , Utku Diril , Krishnakumar Nair , Ehsan K. Aredestani , Martin Schatz , Yuchen Hao , Rakesh Komuravelli , Kunming Ho , Sameer Abu Asal , Joe Shajrawi , Kevin Quinn , Nagesh Sreedhara , Pankaj Kansal , Willie Wei , Dheepak Jayaraman , Linda Cheng , Pritam Chopda , Eric Wang , Ajay Bikumandla , Arun Karthik Sengottuvel , Krishna Thottempudi , Ashwin Narasimha , Brian Dodds , Cao Gao , Jiyuan Zhang , Mohammed Al-Sanabani , Ana Zehtabioskuie , Jordan Fix , Hangchen Yu , Richard Li , Kaustubh Gondkar , Jack Montgomery , Mike Tsai , Saritha Dwarakapuram , Sanjay Desai , Nili Avidan , Poorvaja Ramani , Karthik Narayanan , Ajit Mathews , Sethu Gopal , Maxim Naumov , Vijay Rao , Krishna Noru , Harikrishna Reddy , Prahlad Venkatapuram , Alexis Bjorlin"
74,9:30 AM – 9:45 AM,"With Shared Microexponents, A Little Shifting Goes a Long Way","Bita Darvish Rouhani , Ritchie Zhao , Venmugil Elango , Rasoul Shafipour , Mathew Hall , Maral Mesmakhosroshahi , Ankit More , Levi Melnick , Maximilian Golub , Girish Varatkar , Lai Shao , Gaurav Kolhe , Dimitry Melts , Jasmine Klar , Renee L'Heureux , Matt Perry , Doug Burger , Eric Chung , Zhaoxia (Summer) Deng , Sam Naghshineh , Jongsoo Park , Maxim Naumov"
75,9:45 AM –10:00 AM,Clifford-based Circuit Cutting for Quantum Simulation,"Kaitlin N. Smith , Michael A. Perlin , Pranav Gokhale , Paige Frederick , David Owusu-Antwi , Richard Rines , Victory Omole , Frederic Chong"
76,10:10 AM – 10:25 AM,Enabling High Performance Debugging for Variational Quantum Algorithms using Compressed Sensing,"Kun Liu, Tianyi Hao, Swamit Tannu"
77,10:25 AM – 10:40 AM,A Compilation Framework for Photonic One-Way Quantum Computation,"Hezi Zhang, Anbang Wu, Yuke Wang, Gushu Li, Hassan Shapourian, Alireza Shabani, Yufei Ding"
78,10:40 AM – 10:55 AM,Parallel Driving for Fast Quantum Computing Under Speed Limits,"Evan McKinney, Chao Zhou, Mingkang Xia, Michael Hatridge, Alex K. Jones"
79,10:55 AM – 11:10 AM,Dancing the Quantum Waltz: Compiling Three-Qubit Gates on Four Level Architectures,"Andrew Litteken, Lennart Maximilian Seifert, Jason Chadwick, Natalia Nottingham, Tanay Roy, Ziqian Li, David Schuster, Frederic T Chong, Jonathan M Baker"
80,10:10 AM – 10:25 AM,CAMJ: Enabling Early-Stage Energy Modeling and Architectural Exploration for In-Sensor Visual Computing,"Tianrui Ma, Yu Feng, Xuan Zhang, Yuhao Zhu"
81,10:25 AM – 10:40 AM,Architecting Efficient Multi-modal AIoT Systems,"Xiaofeng Hou, Jiacheng Liu, Xuehan Tang, Chao Li, Jia Chen, Luhong Liang, Kwang-Ting Cheng, Minyi Guo"
82,10:40 AM – 10:55 AM,A General Framework for Generating Memory- and Power-Efficient Image Processing Accelerators,"Nisarg Ujjainkar, Jingwen Leng, Yuhao Zhu"
83,10:55 AM – 11:10 AM,LeCA: In-Sensor Learned Compressive Acquisition for Efficient Machine Vision on the Edge,"Tianrui Ma, Adith Jagadish Boloor, Xiangxing Yang, Weidong Cao, Patrick Williams, Nan Sun, Ayan Chakrabarti, Xuan Zhang"
